판정,레거시 스타일,node_id,HEX,정본 대상,정본 HEX,색차(ΔE),비고
REVIEW,"icon/subtle","43590:49817","#10131C","Navy/Navy 100","#020609",6.99,"정본과 색차 큼 — 개별 판단"
REVIEW,"icon/subtler","43590:51214","#10131C","Navy/Navy 100","#020609",6.99,"정본과 색차 큼 — 개별 판단"
REVIEW,"text/default","43590:49589","#10131C","Navy/Navy 100","#020609",6.99,"정본과 색차 큼 — 개별 판단"
REVIEW,"text/disabled","43590:51269","#10131C","Navy/Navy 100","#020609",6.99,"정본과 색차 큼 — 개별 판단"
REVIEW,"text/subtle","43590:49810","#10131C","Navy/Navy 100","#020609",6.99,"정본과 색차 큼 — 개별 판단"
REVIEW,"text/subtler","43590:49814","#10131C","Navy/Navy 100","#020609",6.99,"정본과 색차 큼 — 개별 판단"
REVIEW,"fill/brand/tertairy","43590:50042","#1794FA","Brand/L.POINT","#009BFA",5.92,"정본과 색차 큼 — 개별 판단"
REVIEW,"$-G_Default Btn-800","7600:76426","#050F16","Navy/Navy 100","#020609",4.34,"정본과 색차 큼 — 개별 판단"
REVIEW,"$-gray-800","7600:76384","#050F16","Navy/Navy 100","#020609",4.34,"정본과 색차 큼 — 개별 판단"
REVIEW,"Untitled/$-DefaultBtn_N-800","7602:76547","#050F16","Navy/Navy 100","#020609",4.34,"정본과 색차 큼 — 개별 판단"
REVIEW,"Main 050 *default","4772:50379","#2F75BE","Brand/L.POINT 2","#0079C3",4.3,"정본과 색차 큼 — 개별 판단"
REVIEW,"Gray/909","1348:38787","#101518","Brand/G car Logo Text","#1A1A1A",4.13,"정본과 색차 큼 — 개별 판단"
REVIEW,"BG/Black_Color","43590:56646","#111111","Navy/Navy 090","#060809",3.04,"정본과 색차 큼 — 개별 판단"
REVIEW,"Grayscale/Gray-090","43590:56703","#111111","Navy/Navy 090","#060809",3.04,"정본과 색차 큼 — 개별 판단"
REVIEW,"System Color/main_bg","42554:49164","#EEF1F8","Navy/Navy 010","#E8ECEF",2.84,"정본과 색차 큼 — 개별 판단"
REVIEW,"System/main_bg","29110:237347","#EEF1F8","Navy/Navy 010","#E8ECEF",2.84,"정본과 색차 큼 — 개별 판단"
REVIEW,"Font_Icon/Default","43590:56657","#181A1D","Brand/G car Logo Text","#1A1A1A",2.42,"정본과 색차 큼 — 개별 판단"
REVIEW,"Icon/default","43590:56656","#181A1D","Brand/G car Logo Text","#1A1A1A",2.42,"정본과 색차 큼 — 개별 판단"
